物件名,平米単価,家賃,管理費・共益費,敷金,礼金,保証金,敷引・償却,部屋の特徴・設備,所在地,駅徒歩,間取り,間取り詳細,専有面積,バルコニー面積,階,向き,建物種別,構造,階建,築年数,築年月,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,仲介手数料,保証会社,ほか初期費用,ほか諸費用,備考,URL
三和コーポ,974.025974,21000,3000円,-,2.1万円,-,-,バルコニー、エアコン、ガスコンロ対応、エレベーター、駐輪場、CATV、プロパンガス,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩11分,ワンルーム,-,21.56,-,2階,南,マンション,鉄筋コン,2階/7階建,築46年,1979年3月,要,-,相談,仲介,フリーレント1ヶ月,398220216,100345118546,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２０，７２０円　更新無,合計4.58万円（内訳：その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000089883052/?bc=100345118546
三和コーポ,916.6666667,22000,3000円,-,2.2万円,-,-,バルコニー、エアコン、シューズボックス、エレベーター、即入居可、敷金不要、初期費用10万円以下、バス停徒歩3分以内、礼金1ヶ月,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩13分,ワンルーム,洋10,24,-,2階,-,マンション,鉄筋コン,2階/7階建,築46年,1979年4月,1.7万円2年,-,即,仲介,-,-,100177309701,-,2024/06/25,次回更新日は情報更新日より１５日以内,-,1ヶ月,保証会社利用必 Ｊリース・アルファー,-,保証会社・退去時メンテナンス料25300円（税込）,-,https://suumo.jp/chintai/jnc_000072176340/?bc=100177309701
三和コーポ,1573.033708,35000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、温水洗浄便座、エレベーター、CATV、照明付、プロパンガス,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩11分,1DK,-,22.25,-,3階,南,マンション,鉄筋コン,3階/7階建,築46年,1979年3月,要,-,相談,仲介,フリーレント1ヶ月,361710311,100233846873,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　３１，９２０円　更新無,合計4.58万円（内訳：その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000050544749/?bc=100233846873
三和コーポ,1159.554731,25000,3000円,-,-,-,-,エアコン、エレベーター、洗面化粧台、CATV、照明付、プロパンガス,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩11分,ワンルーム,-,21.56,-,2階,南,マンション,鉄筋コン,2階/7階建,築46年,1979年3月,要,-,相談,仲介,フリーレント1ヶ月,470440218,100348353888,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２３，６８０円　更新無,合計2.42万円（内訳：清掃費24200円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000085726178/?bc=100348353888
第2皐月マンション,1494.565217,33000,5000円,-,-,-,-,バルコニー、エアコン、TVインターホン、室内洗濯置、エレベーター、駐輪場、礼金不要、敷金不要、IHクッキングヒーター、照明付、分譲賃貸、バイク置場、駅まで平坦、フリーレント、内装リフォーム済、家電付、家具付、敷地内ごみ置き場、都市ガス、リノベーション、敷金・礼金不要、通風良好,大分県大分市大手町１,"ＪＲ日豊本線/大分駅 歩12分
大分バス/コンパルホール入口 歩4分",ワンルーム,洋10,22.08,-,4階,東,マンション,鉄筋コン,4階/9階建,築46年,1978年9月,2万円2年,-,即,仲介,単身者可/ルームシェア不可/フリーレント1ヶ月,248529,100350330312,-,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1ヶ月,保証会社利用必 【初回保証委託料】月額総賃料の８０％ 【初回保証委託料】月額総賃料の８０％,-,自治会費　月額300円,通勤管理/リフォーム：2018年11月内装壁クロス全面貼替/家具家電１５点（冷蔵庫・洗濯機・電子レンジ・炊飯器・プロジェクター・アレクサ・エアコン・IHコンロ・LED照明器具・ベッド・マットレス・ラグマット・ローテーブル・収納ボックス・ハンガーラック）付き！！！ 照明器具はBluetooth対応スピーカー付きのLED照明！ 防犯設備には欠かせないモニター付インターフォン完備です。 ご退去時に室内清掃費 27 500円（税込）が必要です。,https://suumo.jp/chintai/jnc_000085987002/?bc=100350330312
シャルマン外堀,1720,43000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、オートロック、室内洗濯置、シューズボックス、南向き、エレベーター、2口コンロ、駐輪場、全居室収納、保証人不要、ネット使用料不要、プロパンガス、IT重説 対応物件、LGBTフレンドリー、初期費用カード決済可、家賃カード決済可,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩12分,1K,洋7 K2.00,25,-,7階,南,マンション,鉄筋コン,7階/7階建,築25年,2000年3月,要,敷地内11000円,24年7月下旬,仲介,-,451-4572341,100383586970,-,2024/06/28,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 契約時保証委託料：２２，０００円／月額保証委託料：賃料総額の２．２％又は５．５％,-,町内会費（月額）　300円,契約時に退去時のクリーニング費として￥43000が必要となります。/更新事務手数料22000円/収納手数料（月額）170円/24時間サポート費用（月額）330円/鍵セット費3300円,https://suumo.jp/chintai/jnc_000090987539/?bc=100383586970
エルグレイス大手,1678.082192,49000,2000円,-,-,-,-,バストイレ別、バルコニー、エアコン、TVインターホン、オートロック、室内洗濯置、シューズボックス、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、即入居可、最上階、対面式キッチン、照明付、バイク置場、2沿線利用可、ネット専用回線、ネット使用料不要、保証金不要、3駅以上利用可、プロパンガス、敷金・礼金不要、初期費用カード決済可,大分県大分市大手町１,"ＪＲ日豊本線/大分駅 歩13分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/牧駅 歩37分",1K,洋8 K2,29.2,-,5階,西,マンション,鉄筋コン,5階/5階建,築18年,2006年9月,1.8万円2年,-,即,仲介,-,2244974,100379810039,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 契約時保証委託料：2.2万/月額保証委託料：賃料総額の2.2％又は5.5％ ※ペット可は2.5万/2,合計7.15万円（内訳：クリーニング費:40000円、抗菌施工代:16500円、ＳＡＴ１１９(消火用具):12760円、ＡＬＳＯＫロック:2200円）,町費:300円,-,https://suumo.jp/chintai/jnc_000038316769/?bc=100379810039
スカイコート大手町,1106.934002,53000,-,-,-,-,-,バストイレ別、バルコニー、ガスコンロ対応、TVインターホン、シューズボックス、防犯カメラ、ペット相談、保証人不要、クッションフロア、一部フローリング、和室、都市ガス、IT重説 対応物件,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩10分,1SLDK,和6 LDK12.00 納戸 3,47.88,-,2階,西,マンション,鉄筋コン,2階/9階建,築50年,1975年2月,要,-,相談,仲介,二人入居可/ペット相談,451-4505591,100379969548,129戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 契約時月額の総賃料の80％,-,町内会費　300円（）　ライフセーブ24　1600円（）,-,https://suumo.jp/chintai/jnc_000039632882/?bc=100379969548
スカイコート大手町,1375,55000,-,11万円,-,-,-,バストイレ別、バルコニー、クロゼット、フローリング、エレベーター、即入居可、礼金不要、ペット相談、内装リフォーム済、敷金2ヶ月,大分県大分市大手町１,"ＪＲ日豊本線/大分駅 歩12分
大分バス/コンパルホール前 歩1分",1SDK,洋13 DK7 納戸 3,40,-,4階,東,マンション,鉄筋コン,4階/9階建,築50年,1975年2月,要,敷地内16500円,即,仲介,ペット相談,75770864,100382179483,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,-,合計3.85万円（内訳：安心入居サポート／抗菌施工代等）,-,ペットを飼育する場合は敷金１ヶ月要（小型犬・猫１匹まで）,https://suumo.jp/chintai/jnc_000047391788/?bc=100382179483
スカイコート大手町,1121.463078,65000,-,-,-,-,-,バストイレ別、バルコニー、ガスコンロ対応、クロゼット、TVインターホン、シューズボックス、角住戸、脱衣所、エレベーター、洗面所独立、駐輪場、即入居可、防犯カメラ、ペット相談、全居室洋室、二人入居相談、バイク置場、クッションフロア、内装リフォーム済、保証金不要、事務所相談、エレベーター2基、日勤管理、都市ガス、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可、家賃カード決済可,大分県大分市大手町１,ＪＲ日豊本線/大分駅 歩10分,2SDK,洋6 洋6 LDK10.00,57.96,-,4階,東,マンション,鉄筋コン,4階/9階建,築50年,1975年2月,要,-,即,仲介,二人入居可/ペット相談,452-4545447,100383132938,129戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 契約時月額総賃料80％,-,町内会費　300円（月額）　ライトセーブ24　1600円（月額）,-,https://suumo.jp/chintai/jnc_000090044381/?bc=100383132938
